district,avg_price,price_std,total_count,avg_area,avg_rooms,cluster,cluster_label
中山區,74.35,19.2561937543205,438,26.380753424657534,2.0639269406392695,2,平價區
中正區,94.61,31.42149379547641,193,35.671502590673576,2.4248704663212437,0,精華高價區
信義區,89.16,27.045675458607743,295,34.51325423728814,2.4033898305084747,0,精華高價區
內湖區,72.44,17.58098667765646,191,147.63617801047118,2.3612565445026177,1,中價區
北投區,57.45,20.957714172129627,341,33.73821114369501,2.2404692082111435,2,平價區
南港區,82.9,22.8640970273954,120,44.73524999999999,2.7416666666666667,3,中低價區
士林區,69.13,25.54632339591152,181,40.93795580110497,2.591160220994475,3,中低價區
大同區,66.435,25.321892227388137,268,39.725634328358204,2.582089552238806,3,中低價區
大安區,100.245,27.037649850912196,314,32.603853503184716,2.671974522292994,0,精華高價區
文山區,57.67,20.312742088308543,175,37.648114285714286,2.7314285714285713,3,中低價區
松山區,78.5,24.787883228535534,83,27.33855421686747,2.0602409638554215,4,中高價區
萬華區,57.305,20.307844489408073,364,27.77392857142857,2.3736263736263736,2,平價區
