district,avg_price,price_std,total_count,avg_area,avg_rooms,avg_dist,cluster,cluster_label
中山區,74.43,19.395969422121222,437,26.399519450800916,2.0617848970251718,447.0,3,平價區
中正區,96.53,34.58107334170903,207,34.18497584541063,2.323671497584541,341.0,0,精華高價區
信義區,89.67,27.622927247754443,297,34.856632996632996,2.4006734006734005,533.0,0,精華高價區
內湖區,72.63,16.81785847628853,189,148.6026455026455,2.3544973544973544,1613.0,1,中價區
北投區,57.59,20.715531725748455,339,33.835221238938054,2.2389380530973453,388.0,3,平價區
南港區,82.9,22.864097027395395,120,44.73524999999999,2.7416666666666667,712.0,2,中低價區
士林區,69.13,25.54632339591152,181,40.93795580110497,2.591160220994475,570.0,2,中低價區
大同區,66.49,25.64116737564191,267,39.1496254681648,2.5767790262172285,429.0,2,中低價區
大安區,101.3,29.41863996349722,329,32.14686930091185,2.6261398176291793,466.0,0,精華高價區
文山區,57.885000000000005,20.063602167641765,174,37.48155172413793,2.7241379310344827,1397.0,2,中低價區
松山區,80.0,23.858602712576594,82,27.54012195121951,2.073170731707317,305.5,4,中高價區
萬華區,58.205,19.10948742673413,352,27.59684659090909,2.366477272727273,607.5,3,平價區
