區域,總平均,未滿30歲,30～34歲,35～39歲,40～44歲,45～54歲,55～64歲,65歲及以上
松山區,187318,49062,10158,11251,14796,29172,26037,46842
信義區,201446,46154,12612,13358,15451,30384,30812,52675
大安區,282328,75683,14133,15718,21494,42631,39314,73355
中山區,212152,49010,12828,13864,16681,33111,33156,53502
中正區,144109,39814,7637,8775,11921,22485,19242,34235
大同區,116618,28492,7146,7884,9569,18272,17249,28006
萬華區,168675,35738,10671,10895,12832,26412,27551,44576
文山區,253822,66597,15646,15995,19316,39807,40043,56418
南港區,111239,27630,7271,7819,9205,18126,16599,24589
內湖區,267959,72244,17778,19449,22815,40776,39957,54940
士林區,258163,62998,15599,16609,20218,38943,38337,65459
北投區,235678,59688,14233,15246,19209,37417,34681,55204
